"DEPOSIT.NAME","STATE.or.PROVINCE","COUNTRY","LATITUDE","LONGITUDE","ESTIMATED.LOCATION...Yes.or.No.","RESERVES..RESOURCES.DESIGNATION","RESERVES..RESOURCES.NUMBER","YEARS.NEEDED.TO.DEVELOP","Timeline..1...Short..2...Long.","REE.MINERALOGY","REEs","HEAVY.or.LIGHT","APPLICATIONS","BYPRODUCT...Yes.or.No.","TONNAGE.AND.GRADE","OTHER.ORE.or.SIGNIFICANT.MINERALS","GANGUE.and.ROCKFORMING.MINERALS","AGE..Method..Mineral..Rock.","DEPOSIT.TYPE","HOST.ROCK","COMPANY","COMMENTS","REFERENCES","Icon"
"Chamberlin District","Idaho","United States of America",45.31667,-115.11667,"No","Inferred resources",5,9999,2,"Allanite","La, Ce","Light","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys","No","0.64 Myd3- Moose Meadows; 3.84 Myd3- Root Ranch","Zircon, Cinnabar, Ilmenite, Magnetite","Not Available","Quaternary","Placer, Alluvial","Alluvium","Not Available","Occurrence; No active exploration as of 2010","Cater and others, 1973; Location from USGS, 2000, MRDS database","wht_blank"
"Champ","Idaho","United States of America",42.6667,-111.2667,"No","Inferred resources",5,9999,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Collophane, Vanadinite, Uraninite, Pyrite","Clay","Permian","Phosphorite","Mudstone","Not Available","Occurrence; Approximately 0.1% REE in P ore. Phosphate mining ceased in 1986.","Jackson and Christiansen, 1993","wht_blank"
"Changan","Guangond/Hainan Island","China",34.1833,108.9833,"Yes","Indicated resources",4,7,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Not Available","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Possible resource; Not developed because most of area is under cultivation. Lat/Long for city of Changan","ESCAP and ABMRGG, 1988","orange_blank"
"Changit","Not Available","Russia",70.2,100.1,"No","Inferred resources",5,9999,2,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Pyrochlore, Ti-magnetite, Titanite, Perovskite, Apatite","Aegirine-augite, Nepheline, Biotite, Fledspar, Phlogopite","Not Available","Carbonatite","Jacupirangite, Melteigite, Carbonatite, Stockworks, Limestone","Not Available","Occurrence; In Maimecha-Kotui extrusive province.","Kogarko and others, 1995","wht_blank"
"Changling","Jiangxi","China",44.25,123.98333,"Yes","Inferred resources",5,9999,1,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Not Available","Not Available","Not Available","Other - Uncertain","Not Available","Not Available","Occurrence, uncertain; Lat/long for Changling, China.","Wen Lu, 1998","wht_blank"
"Chao Fa Mine","Phuket","Thailand",7.85,98.3333,"Yes","Inferred resources",5,9999,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Cassiterite, Th","Not Available","Not Available","Placer, Alluvial","Not Available","Not Available","Occurrence, uncertain; Monazite in amang dumps contains as much as 15.7% ThO2. Lat/Long for Chalong, Phuket, Thailand","ESCAP and ABMRGG, 1988","wht_blank"
"Chatrapur (Chartrapur, Orissa Sands Complex/OSCOM)","Orissa","India",19.3,84.95,"No","Proved reserves",1,0,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","Yes","Proven-- 240 Mt @ 0.625% Monazite, 9.6% Ilmenite, 0.5% Rutile, 0.42% Zircon, 3.29% sill + Inferred-- 350 Mt (1982); 224 Mt @ 0.632% Monazite or 0.3476% REO (1989)","Ilmenite, Rutile, Leucoxene, Zircon, Kyanite, Garnet, Sillimanite","Quartz, Staurolite, Amphibole","Quaternary","Placer, Shoreline","Sand dunes","Indian Rare Earths Ltd.","Producer byproduct monazite; Byproduct of Ti mining. Belt of sand dunes in 1500 m wide and 19 km long. Relatively low U+Th (50-60 ppm) in ilmenite concentrate.","Anstett, 1986; Hedrick and Templeton, 1991; Towner, 1992; ESCAP and ABMRGG, 1988; Overstreet, 1967; Harben and Kuzvart, 1996; Russell, 1991; Jackson and Christiansen, 1993","grn_circle"
"Chavara (Quilon)- IREL","Kerala","India",8.95,76.7,"Yes","Proved reserves",1,0,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","Yes","Total for deposit 0.12 Mt Monazite; 0.5-1.0% Monazite (1973); 118 Mt @ 0.16% Monazite or 0.0856% REO (1989)","Ilmenite, Rutile, Zircon, Leucoxene, Sillimanite, Garnet","Quartz","Quaternary","Placer, Shoreline","Beach sand","Indian Rare Earths Ltd.","Producer byproduct monazite; Byproduct of Ti mining. Monazite distribution is patchy. Ore is 18% Heavy Minerals. Estimated location along shoreline","Anstett, 1986; Hedrick and Templeton, 1991; Overstreet, 1967; Harben and Kuzvart, 1996; Towner, 1992; ESCAP and ABMRGG, 1988; Roskill, 1988; Jackson and Christiansen, 1993","grn_circle"
"Chavara (Quilon)- KMML","Kerala/ Kollam","India",9,76.7,"Yes","Proved reserves",1,0,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","Yes","114.8 Mt @ 0.16% Monazite or 0.088% REO (1989)","Ilmenite, Rutile, Zircon, Leucoxene, Sillimanite, Garnet","Quartz","Quaternary","Placer, Shoreline","Beach sand","Kerala Minerals and Metals Ltd.","Byproduct producer; Byproduct of Ti mining. Monazite occurrence is patchy. Estimated location along shoreline","Anstett, 1986; O'Driscoll, 1988; Hedrick and Templeton, 1991; Overstreet, 1967; Harben and Kuzvart, 1996; ESCAP and ABMRGG, 1988; Jackson and Christiansen, 1993","grn_circle"
"Chenxian County","Hunan","China",25.8,113.0333,"No","Proved reserves",1,0,1,"Not Available","Not Available","Not Available","Not Available","No","8000 t, 0.05-0.30% REO","Ta, Nb, Be","Not Available","Not Available","Ion Adsorption","Not Available","Not Available","Active producer; Complex REE and polymetallic deposit. Ore bodies are closely spaced, layer-like, and 4-10 m thick. 90-99% recovery of REE.","Industrial Minerals, 1988; Zhang Chuanfu, 1994, 1996; Location from NIMA, 2001","grn_circle"
"Chernigovskii (Novopoltavskii)","Not Available","Ukraine",47.233,36.25,"No","Inferred resources",5,9999,1,"Monazite, Allanite, Ancylitenc, Ce-fergusonite","La, Ce, Pr, Nd, Sm, Tb","Light","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Apatite, Magnetite, Ilmenite, Pyrochlore, Zircon, Titanite, Anatase, Baddeleyite, Columbite","Aegirine, Biotite, Amphibole, Phlogopite","1820 - 2190 Ma","Carbonatite","Beforsite, Alvikite, Carbonatite breccia, Syenite, Pyroxenite","Not Available","Occurrence","Kogarko and others, 1995","wht_blank"
"Cheyne Bay","Western Australia","Australia",-34.5667,118.75,"No","Probable reserves",2,3,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Not Available","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Past small produer; Produced 1949-1950.","ESCAP and ABMRGG, 1988; Location from Australia National Mapping Agency, 2001, accessed at URL http://www.auslig.gov.au/mapping","ltblu_circle"
"Chilembwe (Petauke)","Eastern","Zambia",-13.98333,31.68333,"No","Inferred resources",5,9999,1,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Hydroxlapatite, chloro-Fluorapatite","Quartz, Hornblende, Biotite","Late Cambrian","Alkalic Igneous","Syenite","Not Available","Occurrence; About 5 orebodies are intruded into syenite. Location estimated for center of area","de Kun, 1987; Simukanga and others, 1994","wht_blank"
"Chilka Lake","Orissa","India",19.7667,85.233,"Yes","Inferred resources",5,9999,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Ilmenite, Rutile, Zircon","Not Available","Not Available","Placer, Uncertain origin","Not Available","Not Available","Occurrence, uncertain; Deposits on landward shore.","ESCAP and ABMRGG, 1988; Location from NIMA, 2001","wht_blank"
"Chilwa Island","Not Available","Malawi",-15.333,35.6,"No","Inferred resources",5,9999,1,"Florencite, Synchysite, Bastnasite","Ce, La, Nd, Sm, Y, Eu, Gd, Dy, Er, Tm, Lu","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Magnets, Ceramics, Lasers, Nuclear industry","No","Not Available","Apatite, Pyrochlore, Rutile, Tantalite, Magnetite","Microcline","Early Cretaceous","Carbonatite with residual enrichment","Carbonatite, Sovite, Breccia","Not Available","Occurrence","Woolley, 2001","wht_blank"
"Chingshankangchow","Not Available","Taiwan",23,120.08333,"Yes","Indicated resources",4,7,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","0.765 Mm3 @ 13.0% Monazite, 20.4% Ilmenite, 18.4% Zircon, 2.1% Rutile (1968)","Ilmenite, Zircon, Rutile, Magnetite","Quartz","Not Available","Placer, Shoreline","Not Available","Not Available","Occurrence; Offshore sand bar.","ESCAP and ABMRGG, 1988 Location estimated to be Chianan liman Coast between Putzuchi & Tsengwenchi Rivers: http://twgeoref.moeacgs.gov.tw/storage/1979%5C19790184/EAB.PDF","orange_blank"
"Chiriguelo","Not Available","Paraguay",-22.65,-55.95,"No","Inferred resources",5,9999,1,"Monazite, Cerianite, Plumbopyrochlore","La, Ce, Pr, Nd, Sm, Tb, Y","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets, Ceramics","No","Not Available","Thorite, U-pyrochlore","Not Available","128 plus or minus 5 Ma (K-Ar, biotite, sovite)","Carbonatite","Sovite, Rodbergite, Carbonatite, Syenite, Fenite","Not Available","Occurrence; There is small scale development of laterite with this deposit.","Wall and Mariano, 1996; Woolley, 1987","wht_blank"
"Chumphon","Not Available","Thailand",10.5,99.1667,"No","Proved reserves",1,0,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","Yes","Not Available","Cassiterite","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Byproduct producer (1988)","Hedrick and Templeton, 1991; Hedrick and Templeton, 1990","grn_circle"
"Chumphon","Chumphon","Thailand",10.61667,99.11667,"Yes","Proved reserves",1,0,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","Yes","0.05% Monazite (1971)","Cassiterite, Ilmenite, Zircon","Not Available","Not Available","Placer, Alluvial","Not Available","Not Available","Producer byproduct Monazite/Xentime; Lat/Long for Chumphon, Thailand","ESCAP and ABMRGG, 1988","grn_circle"
"Churuata","Amazonas","Venezuela",3.45,-65.4667,"No","Inferred resources",5,9999,1,"Monazite, Bastnasite(?), Pyrochlore","La, Ce, Pr, Nd, Sm, Tb, Y, Eu, Gd, Dy, Er, Tm, Lu","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets, Ceramics, Lasers, Nuclear industry","No","Not Available","U, Th, Zircon, Sn","Aegirine, Arfvedsonite, Sodalite, Biotite, Nepheline, Riebeckite","Proterozoic-- 1300 Ma","Alkalic Igneous","Alkaline granite, Syenite, Quartz syenite, Nepheline syenite, Sandstone","Not Available","Occurrence; High values for U, Th, REE, Zr, and Sn have been detected in associated laterites. Intrusion centered on very large NW-SE-trending fault.","Woolley, 1987; Soares, 1985","wht_blank"
"Cida","Sichuan/Miyi","China",27,102.08333,"No","Measured resources",3,5,1,"Fergusonite","Y, Dy","Heavy","Phosphors, Ceramics, Magnets, Lasers","No","0.05% REO","Fluorite, Zr, Be, U","Quartz, Albite","230 Ma","Alkalic Igneous","Alkalic riebeckite granite","Not Available","Potential producer","Wu and others, 1996; Wen Lu, 1998; Zhang Peishan and others, 1995","ylw_blank"
"Circle","Alaska","United States of America",65.5,-144.75,"No","Inferred resources",5,9999,2,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Au, Sn, W","Not Available","Not Available","Placer, Alluvial","Alluvial, Colluvial sediments","Not Available","Occurrence, uncertain","Nokleberg and others, 1997","wht_blank"
"Coldwell complex","Ontario","Canada",48.7833,-86.5,"No","Inferred resources",5,9999,1,"Bastnasite, Synchysite, Pyrochlore, Columbite","Y, Eu, Gd, Dy, Er, Tm, Lu, Ce, La, Yb","Heavy/Light","Phosphors, Ceramics, Magnets, Lasers, Metal Alloys, Nuclear industry, Auto catalysts, Glass additives, Polishing compounds, Batteries, Petroleum refining, Silicon photovoltaic cells","No","Not Available","Thorite, Zircon, Fluorite, Magnetite, Apatite, Titanite, V, Cu, Ni, Nepheline, Ilmenite","Quartz, Aegirine, Natrolite, Carbonate, Biotite, Sodalite, Zeolite,","Not Available","Alkalic Igneous","Pegmatites in amphibole syenite, Nepheline syenite, Gabbro, Basic volcanics","Not Available","Occurrence; Includes Marathon Niobium, Marathon, REE, Mink Creek, Port Munroe, Yres Point, Garden Cove and Peninsula Hill occurrences. Alkaline complex has area of 580 km2.","Walker and others, 1993; Platt, 1996a; Woolley, 1987","wht_blank"
"Coleroon - Sirkazhi","Tamilnadu/ Thanjavur","India",11.25,79.75,"No","Inferred resources",5,9999,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Ilmenite, Zircon, Garnet","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Occurrence; Deposits stretch 14 km from Coleroon River mouth to Sirkazhi.","ESCAP and ABMRGG, 1988","wht_blank"
"Conda","Idaho","United States of America",42.7333,-111.5333,"No","Inferred resources",5,9999,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Collophane, Vanadinite, Uraninite, Pyrite","Clay","Permian","Phosphorite","Mudstone","Not Available","Occurrence, uncertain; Approximately 0.1% REE in P ore. Phosphate mining ceased in 1984.","Jackson and Christiansen, 1993","wht_blank"
"Cone Negosa (Negoza)","Not Available","Mozambique",-15.5333,31.2667,"No","Inferred resources",5,9999,1,"Bastnasite, Monazite","Y, Eu, Gd, Dy, Er, Tm, Lu, La, Ce, Pr, Nd, Sm, Tb","Heavy/Light","Phosphors, Ceramics, Magnets, Lasers, Metal aloys, Nuclear industry, Petroleum refining, Batteries, Auto catalysts, Glass additives, Polishing compounds","No","Not Available","Pyrite, Barite, Pyrochlore, Brookite, Fluorapatite, Ti, Fe","Not Available","Not Available","Carbonatite with residual enrichment","Carbonatite","Not Available","Occurrence, uncertain; Premoli classified this deposit as metasomatic.","Premoli, 1994; Woolley, 2001","wht_blank"
"Congolone (Moma-Congolone, Ancoche)","Nampula","Mozambique",-16.01667,40.08333,"No","Proved reserves",1,0,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","Yes","166.8 Mt @ 2.94% Ilmenite, 0.2% zr, 0.05% Rutile, 0.0066% Monazite (1990)","Ilmenite, Rutile, Zircon","Quartz","Not Available","Placer, Shoreline","Dune and beach sand","Kenmare","Byproduct producer; Beach sands, dunes. 4 mineralized areas-- Moma (Namalope-Tupuito), Congolone, Quinga, and Marrua.","Hedrick, 1997; Griffiths, 1989; Jackson and Christiansen, 1993; Premoli, 1994; Brown and Nossal, 1990","grn_circle"
"Cooglegong","Western Australia","Australia",-21.5,119.4,"No","Probable reserves",2,3,1,"Yttrotantalite, Gadolinite","Y, Ho, Gd, Dy","Heavy","Phosphors, Ceramics, Magnets, Lasers","No","Not Available","Not Available","Not Available","Not Available","Other Igneous-Affiliated (including Pegmatites and Veins.)","Not Available","Not Available","Past producer, minor; Produced a few hundred kilograms of yttrotantalite and gadolinite. Lat-long is for town of Cooglegong.","Neary and Highley, 1984; Location from NIMA, 2001","ltblu_circle"
"Coojarloo","Western Australia","Australia",-30.6667,115.333,"No","Probable reserves",2,3,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","Yes","Proven-- 431.3 Mt @ 3.4% Heavy Minerals + Probable-- 138 Mt @ 3.0% Heavy Minerals; 177 Mt @ 3.7% Heavy Minerals (0.2% Monazite); 0.59 Mt @ 0.009% Monazite (1990)","Ilmenite, Leucoxene, Rutile, Zircon","Quartz","Early Pleistocene","Placer, Shoreline","Sand of Bassendean sand and Yoganup Formation","Tiwest Joint Venture","Past byproduct producer; Munbinea Shoreline- a group of former beaches. Deposit is as much as 30 m below water table and is mined by dredging. Heavy Minerals fraction contains 0.2% mon.","Jackson and Christiansen, 1993; Hedrick, 1999, 1998; O'Driscoll, 1988; Griffiths, 1992; ESCAP and ABMRGG, 1988; Roskill, 1988; Location from Towner, 1992","ltblu_circle"
"Coola","Huambo","Angola",-12.51667,15.26667,"No","Inferred resources",5,9999,1,"Parisite, Synchysite, RE phosphates","Ce, La, Nd, Y","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Magnets, Ceramics","No","Not Available","Barite, Fluorite, Sr, Nb, Zn","Dolomite, Quartz","Cretaceous","Carbonatite","Carbonatite breccia, Syenite, Ijolite, Fenite","Not Available","Occurrence; As much as 12500 ppm La has been detected in samples.","Premoli, 1994; Woolley, 2001; Alberti and others, 1999","wht_blank"
"Cooloola","Not Available","Australia",-26.0833,153.11667,"No","Probable reserves",2,3,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","Yes","0.00846% Monazite","Ilmenite, Rutile, Zircon","Quartz","Pleistocene","Placer, Shoreline","Sand","State of Queensland (1986)","Past byproduct producer; Mining ceased in 1975 and area is now a national park.","Anstett, 1986; Jackson and Christiansen, 1993; ESCAP and ABMRGG, 1988","ltblu_circle"
"Cordislandia","Minas Gerais","Brazil",-21.7833,-45.6833,"Yes","Inferred resources",5,9999,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","8200 t Monazite (1987)","Not Available","Not Available","Not Available","Placer, Uncertain origin","Not Available","Not Available","Occurrence; Lat/Long for Cordislandia, Brazil","Jackson and Christiansen, 1993","wht_blank"
"Coromandel Peninsula","North Island","New Zealand",-37,175.8667,"No","Inferred resources",5,9999,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Ilmenite, Garnet, Magnetite, Zircon","Not Available","Cenozoic","Placer, Shoreline","Beach sand","Not Available","Occurrence; Main deposits include Whitianga (Wharekaho Bay), Wharekawa (Opoutere Beach), Waihi Beach, and Matakana Island. Location estimate for center of area","Christie and others, 2000","wht_blank"
"Cox's Bazaar","Not Available","Bangladesh",21.4333,92,"Yes","Probable reserves",2,3,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","5.119 Mt @ 0.04% Monazite (1983)","Ilmenite, Magnetite, Zircon, Leucoxene, Rutile","Not Available","Not Available","Placer, Shoreline","Beach sand","Not Available","Active prospect (1988); 100 km SE of Chittagong. Lat/long for Cox's Bazar city","ESCAP and ABMRGG, 1988; Roskill, 1988","ltblu_circle"
"Crescent Peak","Nevada","United States of America",35.416667,-115.133,"Yes","Inferred resources",5,9999,2,"Monazite, Apatite","La, Ce, Pr, Nd, Sm, Tb, Gd","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Not Available","Not Available","Precambrian?","Other Igneous-Affiliated (including Pegmatites and Veins.)","Granite","Not Available","Occurrence","Castor, 1994; Location from http://www.nbmg.unr.edu/dox/sp29.pdf","wht_blank"
"Cumberland Island","Georgia","United States of America",30.9,-81.45,"No","Indicated resources",4,15,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","241 Mt @ 0.0178% Monazite or 0.011% REO (1982)","Ilmenite, Minor rutile, Leucoxene, Zircon","Quartz","Pleistocene","Placer, Shoreline","Sand","Not Available","Occurrence; Barrier island. In National Park so development unlikely.","Jackson and Christiansen, 1993; Towner, 1992; Towner and others, 1988; Mertie, 1975","red_blank"
"Cumuruxatiba (Curumuxatiba, Comoxatiba)","Bahia","Brazil",-18.3667,-40.7,"No","Proved reserves",1,0,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","Yes","Not Available","Ilmenite, Zircon, Rutile, Th, Magnetite","Quartz","Quaternary","Placer, Shoreline","Not Available","Nuclemon Minero - Quimica Ltda. (1989)","Producer byproduct monazite (1989); In Vitoria District in Sao Joao da Barra region. Coastal sand.","O'Driscoll, 1988; Overstreet, 1967; Azevedo Branco, 1984; Location from Towner, 1992","grn_circle"
"Currumbin","Queensland","Australia",-28.1333,153.4833,"No","Probable reserves",2,3,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","Yes","Not Available","Zircon, Rutile, Ilmenite","Not Available","Not Available","Placer, Shoreline","Not Available","Currumbin Minerals Pty. Ltd. (1989)","Past byproduct producer; Location for Currumbin Point.","Hedrick and Templeton, 1991; Overstreet, 1967; Location from Australia National Mapping Agency, 2001, accessed at URL http://www.auslig.gov.au/mapping","ltblu_circle"
"Curtis Island","Queensland","Australia",-23.6333,151.16667,"No","Inferred resources",5,9999,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","2% Heavy Minerals","Ilmenite, Zircon, Rutile","Not Available","Not Available","Placer, Shoreline","Dune sand","Not Available","Occurrence; Dunes. All leases surrendered for incorporation into National Park. Location is general for Curtis Island.","ESCAP and ABMRGG, 1988; Location from Australia National Mapping Agency, 2001, accessed at URL http://www.auslig.gov.au/mapping","wht_blank"
"Cuxhaven","Not Available","Germany",53.8667,8.68333,"Yes","Inferred resources",5,9999,2,"Monazite?","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","10 Mt Heavy Minerals","Ilmenite, Rutile, Zircon","Not Available","Not Available","Placer, Uncertain origin","Not Available","Not Available","Occurrence, uncertain; Mineral sands. Lat/Long for Cuxhaven.","O'Driscoll, 1988","wht_blank"
"Da Nang","Not Available","Vietnam",16,108.21667,"Yes","Inferred resources",5,9999,1,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Au","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Occurrence, uncertain; Lat/Long for Da Nang city","ESCAP and ABMRGG, 1988","wht_blank"
"Dalkainle","Not Available","Somalia",10.4,43.2667,"No","Inferred resources",5,9999,1,"Allanite","La, Ce","Light","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys","No","Not Available","Magnetite, Barite, Sr, powellite, Molybdenite, Apatite, Zircon, Pyrochlore, Pyrite, Pyrrhotite, Cu","Dolomite, Calcite, Quartz","Not Available","Carbonatite","Carbonatite, Syenite, Nepheline syenite, Gneiss","Not Available","Occurrence","Woolley, 2001","wht_blank"
"Dalucao","Sichuan","China",28.01667,107.3,"Yes","Inferred resources",5,9999,1,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Not Available","Not Available","Not Available","Other - Uncertain","Not Available","Not Available","Occurrence, uncertain; In Dechang. Lat/long for Dalucao, China.","Shi Zemin and Li Xiaoyu, 1995","wht_blank"
"Dara-Pioz","Not Available","Tajikistan",39.41667,70.7333,"No","Indicated resources",4,7,1,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Neptunite, Sogdianite, Tienshanite, Searlesite, Hyalotekite","Nepheline, Aegirine, Quartz","Carboniferous","Alkalic Igneous","Syenite, Granite, Peralkaline syenite, Granosyenite, Peralkaline granite, Garnet-nepheline syenite","Not Available","Potential resource; Alkali rare earth-rich minerals are reported.","Kogarko and others, 1995","orange_blank"
"Dardanup","Western Australia","Australia",-33.4,115.75,"No","Probable reserves",2,3,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Ilmenite","Not Available","Not Available","Placer, Shoreline","Not Available","ISK Minerals Pty Ltd.","Under development; 15 km E of Bunbury.","Griffiths, 1992; Location from NIMA, 2000","ltblu_circle"
"Deep Creek","Oregon","United States of America",42.05,-119.95,"No","Inferred resources",5,9999,2,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Nb, P, F, Sr","Quartz, Amphibole, Aenigmatite","Not Available","Carbonatite","Pantellerite","Not Available","Occurrence; SE of Crane Mountain.","Woolley, 1987; Walker, 1961; Location from USGS, 2002, Geographic Names Information System","wht_blank"
"Denegama","Balangoda","Sri Lanka",6.716667,80.716667,"No","Inferred resources",5,9999,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Not Available","Not Available","Not Available","Other Igneous-Affiliated (including Pegmatites and Veins.)","Not Available","Not Available","Occurrence; Pegmatites are weathered.","ESCAP, 1989; Location from NIMA, 2001","wht_blank"
"Denison","Not Available","Canada",48.61667,-85.4333,"Yes","Indicated resources",4,7,1,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Not Available","Not Available","Not Available","Other - Uranium Deposits","Not Available","Denison Mines Ltd. (1986)","U producer; Potential REE resource; Lat/Long for Denison, Ontario, Canada","Anstett, 1986","orange_blank"
